variable,source_variable,alternatives,condition,values,values_parsed,format,static_value,aggregate,conversion,threshold,limit
drugs_hypercholesterolemia,med_ali,,,1.0;0.0,yes;no,,,,,,
drugs_diabetes,mandiab,,,1.0;0.0,yes;no,,,,,,
date_blood,m_dat,,,,,,,,,,
glucose_fasted,,,,,,,,,,,
glucose_nonfasted,,,,,,,,,,,
glucose_abnormal,,,,,yes;no,,,,,,
no_glucose_abnormal,,,,,yes;no,,,,,,
glucose_cutoff,,,,,,,,,,,
hdl,mhdl2,,,,,,,,,,
ldl,mldl2,,,,,,,,,,
crp,mcrp,,,,,,,,,,
date_habits,m_dat,,,,,,,,,,
alcohol,mvar24,,,,yes;no,,,,,,
smoking_behavior,mvar32,,,,current;past;never,,,,,,
smoker,mvar32,,,,yes;no,,,,,,
apoe_date,,,,,,,,,,,
apoe_carrier,bme4,,,1.0;0.0,yes;no,,,,,,
apoe_genotype,bmapo,,,22;23;33;43;42;44,2/2;2/3;3/3;3/4;2/4;4/4,,,,,,
date_lp,,,,,,,,,,,
csf_assay_amyloid,,,,,luminex;innogetics Elisa;Elecsys;Innotest;Euroimmun,,,,,,
csf_ab_total_1_42,,,,,,,,,,,
csf_ab_total_ratio_42_40,,,,,,,,,,,
csf_ab_total_1_38,,,,,,,,,,,
amy_abnormal,,,,,yes;no,,,,,,
no_amy_abnormal,,,,,yes;no,,,,,,
amy_cutoff,,,,,,,,,,,
csf_assay_tau,,,,,luminex;innogetics Elisa;Elecsys;Innotest;Euroimmun,,,,,,
csf_ttau,,,,,,,,,,,
ttau_abnormal,,,,,yes;no,,,,,,
no_ttau_abnormal,,,,,yes;no,,,,,,
ttau_cutoff,,,,,,,,,,,
csf_ptau,,,,,,,,,,,
ptau_abnormal,,,,,yes;no,,,,,,
no_ptau_abnormal,,,,,yes;no,,,,,,
ptau_cutoff,,,,,,,,,,,
date_pet,,,,,,,,,,,
pet_tracer,,,,,PiB;Florbetapir;AV-45,,,,,,
pet_assesment,,,,,quantitative;visual,,,,,,
pet_level_suvr,,,,,,,,,,,
pet_level_bpnd,,,,,,,,,,,
pet_abnormal,,,,,yes;no,,,,,,
no_pet_abnormal,,,,,yes;no,,,,,,
date_depression,_dat,,,,,,,,,,
depression_rating_mini,,,,,,,,,,,
depression_rating_gds_15,,,,,,,,,,,
depression_rating_gds,,,,,,,,,,,
depression_rating_ces_d,cesdint,,,,,,,,,,
depression_rating_phq_9,,,,,,,,,,,
depression,,,,,yes;no,,,,,,
no_depression,,,,,yes;no,,,,,,
depression_cutoff,,,,,,,16,,,,
date_anxiety,,,,,,,,,,,
anxiety_rating_mini,,,,,,,,,,,
anxiety_rating_beck_anxiety,,,,,,,,,,,
anxiety_rating_state_trait,,,,,,,,,,,
anxiety_rating_hospital_scale,,,,,,,,,,,
anxiety,,,,,yes;no,,,,,,
no_anxiety,,,,,yes;no,,,,,,
anxiety_cutoff,,,,,,,,,,,
mhi_5_questionnaire,,,,,,,,,,,
lidas_questionnaire,,,,,,,,,,,
npi_questionnaire_frq,,,,,,,,,,,
npi_questionnaire_sev,,,,,,,,,,,
date_mmse,,,,,,,,,,,
mmse_total,mmse,,,,,,,,,,
date_attention,,,,,,,,,,,
attention_test_tmt_a_time,,,,,,,,,,,
attention_test_tmt_a_errors,,,,,,,,,,,
attention_test_stroop_1,,,,,,,,,,,
attention_test_stroop_1_e,,,,,,,,,,,
attention_test_stroop_2,,,,,,,,,,,
attention_test_stroop_2_e,,,,,,,,,,,
attention_test_stroop_1_adj,,,,,,,,,,,
attention_test_stroop_2_adj,,,,,,,,,,,
attention_test_sdst,,,,,,,,,,,
attention_test_ldst,,,,,,,,,,,
date_memory,,,,,,,,,,,
priority_memory_im_ravlt,,,,,,,,,,,
priority_memory_im_cerad,,,,,,,,,,,
priority_memory_im_gb,,,,,,,,,,,
priority_memory_im_sct,,,,,,,,,,,
priority_memory_im_lm,,,,,,,,,,,
priority_memory_im_hopkins,,,,,,,,,,,
priority_memory_im_vat_a,,,,,,,,,,,
priority_memory_im_vat_b,,,,,,,,,,,
priority_memory_im_srb,,,,,,,,,,,
priority_memory_im_rrf,,,,,,,,,,,
priority_memory_im_mmse,,,,,,,,,,,
priority_memory_im_adas,,,,,,,,,,,
priority_memory_im_10_word_list,,,,,,,,,,,
priority_memory_im_recall_10_word_list,,,,,,,,,,,
priority_memory_im_15_word_list_correct,,,,,,,,,,,
priority_memory_im_15_word_list_incorrect,,,,,,,,,,,
priority_memory_dr_ravlt,,,,,,,,,,,
priority_memory_dr_cerad,,,,,,,,,,,
priority_memory_dr_gb,,,,,,,,,,,
priority_memory_dr_sct,,,,,,,,,,,
priority_memory_dr_lm,,,,,,,,,,,
priority_memory_dr_hopkins,,,,,,,,,,,
priority_memory_dr_vat_a,,,,,,,,,,,
priority_memory_dr_vat_b,,,,,,,,,,,
priority_memory_dr_srb,,,,,,,,,,,
priority_memory_dr_rrf_short,,,,,,,,,,,
priority_memory_dr_rrf_long,,,,,,,,,,,
priority_memory_dr_mmse,,,,,,,,,,,
priority_memory_dr_adas,,,,,,,,,,,
priority_memory_dr_10_word_list,,,,,,,,,,,
priority_memory_dr_recall_10_word_list,,,,,,,,,,,
priority_memory_dr_15_word_list_correct,,,,,,,,,,,
priority_memory_dr_15_word_list_incorrect,,,,,,,,,,,
date_executive,,,,,,,,,,,
priority_executive_tmt_b_time,,,,,,,,,,,
priority_executive_tmt_b_errors,,,,,,,,,,,
priority_executive_stroop_3,,,,,,,,,,,
priority_executive_stroop_3_e,,,,,,,,,,,
priority_executive_stroop_3_adj,,,,,,,,,,,
priority_executive_cst_a,,,,,,,,,,,
priority_executive_cst_b,,,,,,,,,,,
priority_executive_cst_c,,,,,,,,,,,
priority_executive_vet,,,,,,,,,,,
priority_executive_bat,,,,,,,,,,,
date_language,,,,,,,,,,,
priority_language_animal_fluency,mAcor,,,,,,,,,,
priority_language_category_fluency_1,,,,,,,,,,,
priority_language_letter_fluency_1,,,,,,,,,,,
priority_language_any_fluency_2,,,,,,,,,,,
priority_language_bnt_15,,,,,,,,,,,
priority_language_bnt_30,,,,,,,,,,,
priority_language_bnt_60,,,,,,,,,,,
priority_language_any_picture_naming_test,,,,,,,,,,,
priority_language_animals_naming_1,,,,,,,,,,,
priority_language_verbal_fluency_1,mDWcor,,,,,,D-words,,,,
date_plasma,,,,,,,,,,,
p_tau,,,,,,,,,,,
amyloid_b_42,,,,,,,,,,,
amyloid_b_40,,,,,,,,,,,
amyloid_b_ratio_42_40,,,,,,,,,,,
gfap,,,,,,,,,,,
nfl,,,,,,,,,,,
e_selectin,,,,,,,,,,,
saa,,,,,,,,,,,
vcam,,,,,,,,,,,
icam,,,,,,,,,,,
il6,,,,,,,,,,,
il8,,,,,,,,,,,
il_1b,,,,,,,,,,,
tnfalpha,,,,,,,,,,,
