variable,source_variable,alternatives,condition,values,values_parsed,format,static_value,aggregate,conversion,threshold,limit
no_semantic_dementia,,,,,yes;no,,,,,,
no_corticobasal_syndrome,,,,,yes;no,,,,,,
no_psp,,,,,yes;no,,,,,,
no_pnfa,,,,,yes;no,,,,,,
no_cjd,,,,,yes;no,,,,,,
date_cdr,DATE_ASSESS,,,,,,,,,,
cdr_total,CDR_total,,,,,,,,,,
cdr_sum_of_boxes,,,,,,,,,,,
subjective_memory_complaints,,,,,yes;no,,,,,,
mci_petersen,,,,,0;1;2;3;4;5,,,,,,
mci_jessen,,,,,0;1;2;3;4;5,,,,,,
mci_no_adl_scd,,,,,0;1;2;3,,,,,,
mci_no_adl_memory,,,,,0;1;2;3,,,,,,
amnestic_mci_no_adl_scd,,,,,0;1;2;3,,,,,,
amnestic_mci_no_adl_memory,,,,,0;1;2;3,,,,,,
non_amnestic_mci_no_adl_memory,,,,,0;1;2;3,,,,,,
subjective_decline_jessen,,,,,yes;no,,,,,,
dementia_cognitive_domains,,,,,yes;no,,,,,,
mort_date,SUB_DATE,,,,,,,,,,
live_date,,,,,,,,,,,
mort,SUB_DEAD,,,1;0,true;false,,,,,,
date_vitals,bp_date,,,,,,,,,,
sbp,SYSTOLIC_MEAN,,,,,,,,,,
dbp,DIASTOLIC_MEAN,,,,,,,,,,
bmi,BIA_BMI,,,,,,,,,,
weight,WEIGHT,,,,,,,,,,
height,LENGTH,,,,,,,,,,
waist,WAIST_CIRC,,,,,,,,,,
date_comorbidities,DATE_ASSESS,,,,,,,,,,
hypertension,HYPERTENSION,,,1;0,yes;no,,,,,,
hypercholesterolemia,HYPERCHOL,,,1;0,yes;no,,,,,,
dm_1,DIABETES1,,,1;0,yes;no,,,,,,
dm_2,DIABETES2,,,1;0,yes;no,,,,,,
dm,DIABETES1,DIABETES2,1,1;0,yes;no,,,,,,
myocardial_infarction,MYOCARD,,,1;0,yes;no,,,,,,
cardiovascular_disease,,,,,yes;no,,,,,,
heart_failure,CARDIAC_FAIL,,,1;0,yes;no,,,,,,
stroke,BRAIN_INF,,,1;0,yes;no,,,,,,
no_dm_1,DIABETES1,,,1;0,yes;no,,,,,,
no_dm_2,DIABETES2,,,1;0,yes;no,,,,,,
no_dm,DIABETES1,DIABETES2,1,1;0,yes;no,,,,,,
no_myocardial_infarction,MYOCARD,,,1;0,yes;no,,,,,,
no_heart_failure,CARDIAC_FAIL,,,1;0,yes;no,,,,,,
no_stroke,BRAIN_INF,,,1;0,yes;no,,,,,,
drugs_hypertension,HYPERTENSION_MED,,,1;0;-,yes;no;_,,,,,,
drugs_hypercholesterolemia,STATINES,OTHER_LIPID,1,1;0;-,yes;no;_,,,,,,
drugs_diabetes,ORAL_ANT_DIA,INSULIN,1,1;0,yes;no,,,,,,
date_blood,BC_DATE,,,,,,,,,,
glucose_fasted,BC_GLU,,,,,,,,,,
glucose_nonfasted,,,,,,,,,,,
glucose_abnormal,,,,,yes;no,,,,,,
no_glucose_abnormal,,,,,yes;no,,,,,,
glucose_cutoff,,,,,,,,,,,
hdl,BC_HDL,,,,,,,,,,
ldl,BC_LDL,,,,,,,,,,
hdl_ratio,,,,,,,,,,,
crp,BC_CRP,,,,,,,,,,
date_habits,DATE_ASSESS,,,,,,,,,,
alcohol,ALCOHOL,,,1;0,yes;no,,,,,,
smoking_behavior,,,,,current;past;never,,,,,,
smoker,SMOKE,,,1;0,yes;no,,,,,,
physical_activity,,,,,,,,,,,
apoe_date,,,,,,,,,,,
apoe_carrier,APOE4,rs429358;rs7412,,1;0,yes;no,,,,,,
apoe_genotype,APOE_GSA,,,22;23;33;34;24;44,2/2;2/3;3/3;3/4;2/4;4/4,,,,,,
date_lp,LP_DATE,,,,,,,,,,
csf_assay_amyloid,,,,,luminex;innogetics Elisa;Elecsys;Innotest;Euroimmun,,,,,,
csf_ab_total_1_42,,,,,,,,,,,
csf_ab_total_ratio_42_40,,,,,,,,,,,
csf_ab_total_1_38,,,,,,,,,,,
amy_abnormal,,,,,yes;no,,,,,,
no_amy_abnormal,,,,,yes;no,,,,,,
amy_cutoff,,,,,,,,,,,
csf_assay_tau,,,,,luminex;innogetics Elisa;Elecsys;Innotest;Euroimmun,,,,,,
csf_ttau,,,,,,,,,,,
ttau_abnormal,,,,,yes;no,,,,,,
no_ttau_abnormal,,,,,yes;no,,,,,,
ttau_cutoff,,,,,,,,,,,
csf_ptau,,,,,,,,,,,
ptau_abnormal,,,,,yes;no,,,,,,
no_ptau_abnormal,,,,,yes;no,,,,,,
ptau_cutoff,,,,,,,,,,,
date_pet,PET_DATE,,,,,,,,,,
pet_tracer,,,,,PiB;Florbetapir;AV-45,,,,,,
pet_assesment,,,,,quantitative;visual,,,,,,
pet_level_suvr,GLOBAL_SUVR,,,,,,,,,,
pet_level_bpnd,GLOBAL_BP,,,,,,,,,,
pet_abnormal,AMYLOID_BP_VISUAL_FINAL,AMYLOID_SUV_VISUAL_FINAL,1,1;0,yes;no,,,,,,
no_pet_abnormal,AMYLOID_BP_VISUAL_FINAL,AMYLOID_SUV_VISUAL_FINAL,1,1;0,yes;no,,,,,,
date_depression,DATE_ASSESS,,,,,,,,,,
depression_rating_mini,,,,,,,,,,,
depression_rating_gds_15,,,,,,,,,,,
depression_rating_gds,GDS_TOTAL,,,,,,,,,,
depression_rating_ces_d,,,,,,,,,,,
depression_rating_phq_9,,,,,,,,,,,
depression_rating_hads,,,,,,,,,,,
depression_rating_sf_36,,,,,,,,,,,
depression,DEPRESSION,,,1;0,yes;no,,,,,,
no_depression,DEPRESSION,,,1;0,yes;no,,,,,,
depression_cutoff,,,,,,,,,,,
date_anxiety,,,,,,,,,,,
anxiety_rating_mini,,,,,,,,,,,
anxiety_rating_beck_anxiety,,,,,,,,,,,
anxiety_rating_state_trait,,,,,,,,,,,
anxiety_rating_hospital_scale,,,,,,,,,,,
anxiety,,,,,yes;no,,,,,,
no_anxiety,,,,,yes;no,,,,,,
anxiety_cutoff,,,,,,,,,,,
mhi_5_questionnaire,,,,,,,,,,,
lidas_questionnaire,,,,,,,,,,,
npi_questionnaire_frq,NPI_ANX,,,1;2;3;4,1;2;3;4,,,,,,
npi_questionnaire_sev,NPI_ANX_S,,,1;2;3,1;2;3,,,,,,
npi_questionnaire_dis,NPI_ANX_D,,,0;1;2;3;4;5,0;1;2;3;4;5,,,,,,
date_mmse,DATE_ASSESS,,,,,,,,,,
mmse_total,MMSE_TOTAL_1,,,,,,,,,,
date_attention,NPO_DATE,,,,,,,,,,
attention_test_tmt_a_time,TMT_A,,,,,,,,,,
attention_test_tmt_a_errors,TMT_AE,,,,,,,,,,
attention_test_stroop_1_time,,,,,,,,,,,
attention_test_stroop_1_errors,,,,,,,,,,,
attention_test_stroop_2_time,,,,,,,,,,,
attention_test_stroop_2_errors,,,,,,,,,,,
attention_test_stroop_1_adj,,,,,,,,,,,
attention_test_stroop_2_adj,,,,,,,,,,,
attention_test_sdst_60_correct,,,,,,,,,,,
attention_test_sdst_60_errors,,,,,,,,,,,
attention_test_sdst_60_ts,,,,,,,,,,,
attention_test_sdst_90_correct,,,,,,,,,,,
attention_test_sdst_90_errors,,,,,,,,,,,
attention_test_sdst_90_ts,SDS_TOTAL,,,,,,,,,,
attention_test_sdst_120_correct,,,,,,,,,,,
attention_test_sdst_120_errors,,,,,,,,,,,
attention_test_sdst_120_ts,,,,,,,,,,,
attention_test_ldst_30_correct,,,,,,,,,,,
attention_test_ldst_30_errors,,,,,,,,,,,
attention_test_ldst_60_correct,,,,,,,,,,,
attention_test_ldst_60_errors,,,,,,,,,,,
attention_test_ldst_90_correct,,,,,,,,,,,
attention_test_ldst_90_errors,,,,,,,,,,,
alphabet_coding_task,,,,,,,,,,,
date_memory,NPO_DATE,,,,,,,,,,
priority_memory_im_ravlt,,,,,,,,,,,
priority_memory_im_cerad,CERAD_TOTAL,,,,,,,,,,
priority_memory_im_gb,,,,,,,,,,,
priority_memory_im_sct,,,,,,,,,,,
priority_memory_im_lm,,,,,,,,,,,
priority_memory_im_hopkins,,,,,,,,,,,
priority_memory_im_vat_a,VAT_AT,,,,,,,,,,
priority_memory_im_vat_b,VAT_AT_2,,,,,,,,,,
priority_memory_im_srb,,,,,,,,,,,
priority_memory_im_rrf,REY_TOTAL_A,,,,,,,,,,
priority_memory_im_mmse,,,,,,,,,,,
priority_memory_im_adas,,,,,,,,,,,
priority_memory_im_10_word_list_correct,,,,,,,,,,,
priority_memory_im_10_word_list_errors,,,,,,,,,,,
priority_memory_im_15_word_list_correct,,,,,,,,,,,
priority_memory_im_15_word_list_errors,,,,,,,,,,,
priority_memory_im_pwlt,,,,,,,,,,,
priority_memory_dr_ravlt,,,,,,,,,,,
priority_memory_dr_cerad,CERAD_RECALL,,,,,,,,,,
priority_memory_dr_gb,,,,,,,,,,,
priority_memory_dr_sct,,,,,,,,,,,
priority_memory_dr_lm,,,,,,,,,,,
priority_memory_dr_hopkins,,,,,,,,,,,
priority_memory_dr_vat_a,,,,,,,,,,,
priority_memory_dr_vat_b,,,,,,,,,,,
priority_memory_dr_srb,,,,,,,,,,,
priority_memory_dr_rrf_short,REY_TOTAL_B,,,,,,,,,,
priority_memory_dr_rrf_long,,,,,,,,,,,
priority_memory_dr_mmse,,,,,,,,,,,
priority_memory_dr_adas,,,,,,,,,,,
priority_memory_dr_10_word_list_correct,,,,,,,,,,,
priority_memory_dr_10_word_list_errors,,,,,,,,,,,
priority_memory_dr_15_word_list_correct,,,,,,,,,,,
priority_memory_dr_15_word_list_errors,,,,,,,,,,,
priority_memory_de_pwlt,,,,,,,,,,,
date_executive,NPO_DATE,,,,,,,,,,
priority_executive_tmt_b_time,TMT_B,,,,,,,,,,
priority_executive_tmt_b_errors,TMT_BE,,,,,,,,,,
priority_executive_stroop_3_time,,,,,,,,,,,
priority_executive_stroop_3_errors,,,,,,,,,,,
priority_executive_stroop_3_time_adj,,,,,,,,,,,
priority_executive_cst_a_time,,,,,,,,,,,
priority_executive_cst_a_errors,,,,,,,,,,,
priority_executive_cst_b_time,,,,,,,,,,,
priority_executive_cst_b_errors,,,,,,,,,,,
priority_executive_cst_c_time,,,,,,,,,,,
priority_executive_cst_c_errors,,,,,,,,,,,
priority_executive_vet,,,,,,,,,,,
priority_executive_bat,,,,,,,,,,,
priority_executive_cijfferreeksspanne,,,,,,,,,,,
priority_executive_vosp,,,,,,,,,,,
priority_executive_wais_3_b,DS_B,,,,,,,,,,
priority_executive_wais_3_b_span,DS_BS,,,,,,,,,,
priority_executive_wais_3_f,DS_F,,,,,,,,,,
priority_executive_wais_3_f_span,DS_FS,,,,,,,,,,
date_language,NPO_DATE,,,,,,,,,,
priority_language_animal_fluency_60_correct,F_AN_1,,,,,,,,,,
priority_language_animal_fluency_60_errors,F_AN_1E,,,,,,,,,,
priority_language_animal_fluency_60_ts,F_AN_T1,,,,,,,,,,
priority_language_animal_fluency_120_correct,F_AN_2,,,,,,,,,,
priority_language_animal_fluency_120_errors,F_AN_2E,,,,,,,,,,
priority_language_animal_fluency_120_ts,F_AN_T2,,,,,,,,,,
priority_language_category_fluency_60,,,,,,,,,,,
priority_language_letter_fluency_60,F_DAT_TOTAL,,,,,,Total score on DAT,,,,
priority_language_bnt_15,,,,,,,,,,,
priority_language_bnt_30,,,,,,,,,,,
priority_language_bnt_60,,,,,,,,,,,
priority_language_verbal_fluency_60,,,,,,,,,,,
priority_language_verbal_fluency_60_errors,,,,,,,,,,,
date_fluid_intelligence,,,,,,,,,,,
fluid_intelligence_raven,,,,,,,,,,,
date_dexterity,,,,,,,,,,,
dexterity_purdue_pegboard,,,,,,,,,,,
dexterity_clock_drawing,CD_1_TOTAL,,,,,,,,,,
dexterity_cogstate_battery,,,,,,,,,,,
cognitive_impairment_overall,,,,,yes;no,,,,,,
cognitive_impairment_attention,,,,,yes;no,,,,,,
cognitive_impairment_executive,,,,,yes;no,,,,,,
cognitive_impairment_memory,,,,,yes;no,,,,,,
cognitive_impairment_processing,,,,,yes;no,,,,,,
cognitive_impairment_working_memory,,,,,yes;no,,,,,,
cognitive_score_overall,,,,,,,,,,,
cognitive_score_memory,,,,,,,,,,,
cognitive_score_processing,,,,,,,,,,,
cognitive_score_attention,,,,,,,,,,,
cognitive_score_executive,,,,,,,,,,,
date_plasma,BC_DATE,,,,,%d-%m-%Y,,,,,
p_tau,CONC_PTAU181,,,,,,,,,,
amyloid_b_42,CONC_AB42,,,,,,,,,,
amyloid_b_40,CONC_AB40,,,,,,,,,,
amyloid_b_ratio_42_40,,,,,,,,,,,
gfap,CONC_GFAP,,,,,,,,,,
nfl,,,,,,,,,,,
e_selectin,,,,,,,,,,,
saa,,,,,,,,,,,
vcam,,,,,,,,,,,
icam,,,,,,,,,,,
il6,,,,,,,,,,,
il8,,,,,,,,,,,
il_1b,,,,,,,,,,,
tnfalpha,,,,,,,,,,,
vwf,,,,,,,,,,,
date_metabolomics,,,,,,,,,,,
metabo_age,,,,,,,,,,,
date_mri,,,,,,,,,,,
brain_age,,,,,,,,,,,
