variable,source_variable,alternatives,condition,values,values_parsed,format,static_value,aggregate,conversion,threshold,limit
csf_assay_amyloid,,,,,luminex;innogetics Elisa;Elecsys;Innotest;Euroimmun,,,,,,
csf_ab_total_1_42,,,,,,,,,,,
csf_ab_total_ratio_42_40,,,,,,,,,,,
csf_ab_total_1_38,,,,,,,,,,,
amy_abnormal,,,,,yes;no,,,,,,
no_amy_abnormal,,,,,yes;no,,,,,,
amy_cutoff,,,,,,,,,,,
csf_assay_tau,,,,,luminex;innogetics Elisa;Elecsys;Innotest;Euroimmun,,,,,,
csf_ttau,,,,,,,,,,,
ttau_abnormal,,,,,yes;no,,,,,,
no_ttau_abnormal,,,,,yes;no,,,,,,
ttau_cutoff,,,,,,,,,,,
csf_ptau,,,,,,,,,,,
ptau_abnormal,,,,,yes;no,,,,,,
no_ptau_abnormal,,,,,yes;no,,,,,,
ptau_cutoff,,,,,,,,,,,
date_pet,,,,,,,,,,,
pet_tracer,,,,,PiB;Florbetapir;AV-45,,,,,,
pet_assesment,,,,,quantitative;visual,,,,,,
pet_level_suvr,,,,,,,,,,,
pet_level_bpnd,,,,,,,,,,,
pet_abnormal,,,,,yes;no,,,,,,
no_pet_abnormal,,,,,yes;no,,,,,,
date_depression,MINIdate,,,,,%Y-%m-%d,,,,,
depression_rating_mini,,,,,,,,,,,
depression_rating_gds_15,,,,,,,,,,,
depression_rating_gds,,,,,,,,,,,
depression_rating_ces_d,,,,,,,,,,,
depression_rating_phq_9,,,,,,,,,,,
depression_rating_hads,,,,,,,,,,,
depression_rating_sf_36,,,,,,,,,,,
depression,MINIcurrdepr,,,1.0;0.0,yes;no,,2000000025
no_depression,MINIcurrdepr,,,1.0;0.0,yes;no,,2000000025
depression_cutoff,,,,,,,,,,,
date_anxiety,MINIdate,,,,,%Y-%m-%d,,,,,
anxiety_rating_mini,,,,,,,,,,,
anxiety_rating_beck_anxiety,,,,,,,,,,,
anxiety_rating_state_trait,,,,,,,,,,,
anxiety_rating_hospital_scale,,,,,,,,,,,
anxiety,MINIcurrpanic,MINIagora;MINIphobia,1.0,1.0;0.0,yes;no,,2000000025
no_anxiety,MINIcurrpanic,MINIagora;MINIphobia,1.0,1.0;0.0,yes;no,,2000000025
anxiety_cutoff,,,,,,,,,,,
mhi_5_questionnaire,,,,,,,,,,,
lidas_questionnaire,,,,,,,,,,,
npi_questionnaire_frq,,,,,1;2;3;4,,,,,,
npi_questionnaire_sev,,,,,1;2;3,,,,,,
npi_questionnaire_dis,,,,,0;1;2;3;4;5,,,,,,
date_mmse,VISIT2_DATE,,,,,%Y-%m-%d,,,,,
mmse_total,MMSEscore,,,,,,,,,,
date_attention,VISIT2_DATE,,,,,%Y-%m-%d,,,,,
attention_test_tmt_a_time,,,,,,,,,,,
attention_test_tmt_a_errors,,,,,,,,,,,
attention_test_stroop_1_time,STR1ts,,,,,,,,,,
attention_test_stroop_1_errors,STR1f,,,,,,,,,,
attention_test_stroop_2_time,STR2ts,,,,,,,,,,
attention_test_stroop_2_errors,STR2f,,,,,,,,,,
attention_test_stroop_1_adj,,,,,,,,,,,
attention_test_stroop_2_adj,,,,,,,,,,,
attention_test_sdst_60_correct,,,,,,,,,,,
attention_test_sdst_60_errors,,,,,,,,,,,
attention_test_sdst_60_ts,,,,,,,,,,,
attention_test_sdst_90_correct,,,,,,,,,,,
attention_test_sdst_90_errors,,,,,,,,,,,
attention_test_sdst_90_ts,,,,,,,,,,,
attention_test_sdst_120_correct,,,,,,,,,,,
attention_test_sdst_120_errors,,,,,,,,,,,
attention_test_sdst_120_ts,,,,,,,,,,,
attention_test_ldst_30_correct,LDST30,,,,,,,,,,
attention_test_ldst_30_errors,LDSTf30,,,,,,,,,,
attention_test_ldst_60_correct,LDST60,,,,,,,,,,
attention_test_ldst_60_errors,LDSTf60,,,,,,,,,,
attention_test_ldst_90_correct,LDST90,,,,,,,,,,
attention_test_ldst_90_errors,LDSTf90,,,,,,,,,,
alphabet_coding_task,,,,,,,,,,,
date_memory,VISIT2_DATE,,,,,%Y-%m-%d,,,,,
priority_memory_im_ravlt,WLT1,WLT2;WLT3,,,,,,sum,,,
priority_memory_im_cerad,,,,,,,,,,,
priority_memory_im_gb,,,,,,,,,,,
priority_memory_im_sct,,,,,,,,,,,
priority_memory_im_lm,,,,,,,,,,,
priority_memory_im_hopkins,,,,,,,,,,,
priority_memory_im_vat_a,,,,,,,,,,,
priority_memory_im_vat_b,,,,,,,,,,,
priority_memory_im_srb,,,,,,,,,,,
priority_memory_im_rrf,,,,,,,,,,,
priority_memory_im_mmse,,,,,,,,,,,
priority_memory_im_adas,,,,,,,,,,,
priority_memory_im_10_word_list_correct,,,,,,,,,,,
priority_memory_im_10_word_list_errors,,,,,,,,,,,
priority_memory_im_15_word_list_correct,,,,,,,,,,,
priority_memory_im_15_word_list_errors,,,,,,,,,,,
priority_memory_im_pwlt,,,,,,,,,,,
priority_memory_dr_ravlt,WLTRscore,,,,,,,,,,
priority_memory_dr_cerad,,,,,,,,,,,
priority_memory_dr_gb,,,,,,,,,,,
priority_memory_dr_sct,,,,,,,,,,,
priority_memory_dr_lm,,,,,,,,,,,
priority_memory_dr_hopkins,,,,,,,,,,,
priority_memory_dr_vat_a,,,,,,,,,,,
priority_memory_dr_vat_b,,,,,,,,,,,
priority_memory_dr_srb,,,,,,,,,,,
priority_memory_dr_rrf_short,,,,,,,,,,,
priority_memory_dr_rrf_long,,,,,,,,,,,
priority_memory_dr_mmse,,,,,,,,,,,
priority_memory_dr_adas,,,,,,,,,,,
priority_memory_dr_10_word_list_correct,,,,,,,,,,,
priority_memory_dr_10_word_list_errors,,,,,,,,,,,
priority_memory_dr_15_word_list_correct,,,,,,,,,,,
priority_memory_dr_15_word_list_errors,,,,,,,,,,,
priority_memory_de_pwlt,,,,,,,,,,,
date_executive,VISIT2_DATE,,,,,%Y-%m-%d,,,,,
priority_executive_tmt_b_time,,,,,,,,,,,
priority_executive_tmt_b_errors,,,,,,,,,,,
priority_executive_stroop_3_time,STR3ts,,,,,,,,,,
priority_executive_stroop_3_errors,STR3f,,,,,,,,,,
priority_executive_stroop_3_time_adj,,,,,,,,,,,
priority_executive_cst_a_time,CSTAts,,,,,,,,,,
priority_executive_cst_a_errors,CSTAf,,,,,,,,,,
priority_executive_cst_b_time,CSTBts,,,,,,,,,,
priority_executive_cst_b_errors,CSTBf,,,,,,,,,,
priority_executive_cst_c_time,CSTCts,,,,,,,,,,
priority_executive_cst_c_errors,CSTCf,,,,,,,,,,
priority_executive_vet,,,,,,,,,,,
priority_executive_bat,,,,,,,,,,,
priority_executive_cijfferreeksspanne,,,,,,,,,,,
priority_executive_vosp,,,,,,,,,,,
priority_executive_wais_3_b,,,,,,,,,,,
priority_executive_wais_3_b_span,,,,,,,,,,,
priority_executive_wais_3_f,,,,,,,,,,,
priority_executive_wais_3_f_span,,,,,,,,,,,
date_language,VISIT2_DATE,,,,,%Y-%m-%d,,,,,
priority_language_animal_fluency_60_correct,FLUcor,,,,,,,,,,
priority_language_animal_fluency_60_errors,FLUf,,,,,,,,,,
priority_language_animal_fluency_60_ts,,,,,,,,,,,
priority_language_animal_fluency_120_correct,,,,,,,,,,,
priority_language_animal_fluency_120_errors,,,,,,,,,,,
priority_language_animal_fluency_120_ts,,,,,,,,,,,
priority_language_category_fluency_60,,,,,,,,,,,
priority_language_letter_fluency_60,,,,,,,,,,,
priority_language_bnt_15,,,,,,,,,,,
priority_language_bnt_30,,,,,,,,,,,
priority_language_bnt_60,,,,,,,,,,,
priority_language_verbal_fluency_60,,,,,,,,,,,
priority_language_verbal_fluency_60_errors,,,,,,,,,,,
date_fluid_intelligence,,,,,,,,,,,
fluid_intelligence_raven,,,,,,,,,,,
date_dexterity,,,,,,,,,,,
dexterity_purdue_pegboard,,,,,,,,,,,
dexterity_clock_drawing,,,,,,,,,,,
dexterity_cogstate_battery,,,,,,,,,,,
cognitive_impairment_overall,Cog_COGimp,,,1.0;0.0,yes;no,,,,,,
cognitive_impairment_attention,Cog_Efimp,,,1.0;0.0,yes;no,,,,,,
cognitive_impairment_executive,Cog_Efimp,,,1.0;0.0,yes;no,,,,,,
cognitive_impairment_memory,Cog_MEMORYimp,,,1.0;0.0,yes;no,,,,,,
cognitive_impairment_processing,Cog_IPSimp,,,1.0;0.0,yes;no,,,,,,
cognitive_impairment_working_memory,,,,,yes;no,,,,,,
cognitive_score_overall,OVERALL_COGNITION,,,,,,,,,,
cognitive_score_memory,MEMORY,,,,,,,,,,
cognitive_score_processing,PROCESSING_SPEED,,,,,,,,,,
cognitive_score_attention,EXECUTIVE_ATTENTION,,,,,,,,,,
cognitive_score_executive,EXECUTIVE_ATTENTION,,,,,,,,,,
date_plasma,VISIT1_DATE,,,,,%Y-%m-%d,,,,,
p_tau,,,,,,,,,,,
amyloid_b_42,,,,,,,,,,,
amyloid_b_40,,,,,,,,,,,
amyloid_b_ratio_42_40,,,,,,,,,,,
gfap,,,,,,,,,,,
nfl,,,,,,,,,,,
e_selectin,Eselectin_2016F,,,,,,,,,,
saa,SAA_2016F,,,,,,,,,,
vcam,sVCAM1_2016F,,,,,,,,,,
icam,sICAM1_2016F,,,,,,,,,,
il6,IL6_2016F,,,,,,,,,,
il8,IL8_2016F,,,,,,,,,,
il_1b,,,,,,,,,,,
tnfalpha,TNFa_2016F,,,,,,,,,,
vwf,vWF,,,,,,,,,,
date_metabolomics,,,,,,,,,,,
metabo_age,,,,,,,,,,,
date_mri,,,,,,,,,,,
brain_age,,,,,,,,,,,
date_additional,VISIT2_DATE,,,,,%Y-%m-%d,,,,,
fluency_double,FLUd,,,,,,,,,,
fluency_status,FLUstat,,,0.0;1.0;2.0;3.0;4.0;5.0;6.0;7.0,0;1;2;3;4;5;6;7,,,,,,
stroop_chart3_spontaneous_corrections,STR3cor,,,,,,,,,,
stroop_chart2_spontaneous_corrections,STR2cor,,,,,,,,,,
stroop_chart1_spontaneous_corrections,STR1cor,,,,,,,,,,
stroop_status,STRstat,,,0.0;1.0;2.0;3.0;4.0;5.0;6.0;7.0,0;1;2;3;4;5;6;7,,,,,,
stroop_interference,STRINT,,,,,,,,,,
wlt_double_trial_1,WLT1d,,,,,,,,,,
wlt_double_trial_2,WLT2d,,,,,,,,,,
wlt_double_trial_3,WLT3d,,,,,,,,,,
wlt_double_trial_4,WLT4d,,,,,,,,,,
wlt_double_trial_5,WLT5d,,,,,,,,,,
wlt_false_positive,WLTRfp,,,,,,,,,,
wlt_status,WLTstat,,,0.0;1.0;2.0;3.0;4.0;5.0;6.0;7.0,0;1;2;3;4;5;6;7,,,,,,
wlt_true_negative,WLTRcorn,,,,,,,,,,
wlt_false_negative,WLTRfn,,,,,,,,,,
wlt_true_positive,WLTRcorp,,,,,,,,,,
cst_1_time_null,CST1ts,,,,,,,,,,
cst_2_time_null,CST2ts,,,,,,,,,,
cst_status,CSTstat,,,0.0;1.0;2.0;3.0;4.0;5.0;6.0;7.0,0;1;2;3;4;5;6;7,,,,,,
cst_adjusted,CSTadjustedts,,,,,,,,,,
ldst_status,LDSTstat,,,0.0;1.0;2.0;3.0;4.0;5.0;6.0;7.0,0;1;2;3;4;5;6;7,,,,,,
