variable,source_variable,alternatives,condition,values,values_parsed,format,static_value,aggregate,conversion,threshold
source_id,studienr,,,,,,,,,,
date,ageT0,,,,,%d-%m-%Y,,,,,
birth_year,,,,,,,,,,,
date_age,gebdatum,,,,,,,,,,
age,,,,,,,0
sex,sex,,,0;1;-,male;female;-,,,,,,
priority_memory_im_15_word_list_correct,wt15_ta,sms15wttc;WT15_tot,,,,,,,,,
priority_memory_im_15_word_list_incorrect,wt15_tb,sms15wttf,,,,,,,,,
priority_memory_dr_ravlt,,,,,,,,,,,
priority_memory_dr_cerad,,,,,,,,,,,
priority_memory_dr_gb,,,,,,,,,,,
priority_memory_dr_sct,,,,,,,,,,,
priority_memory_dr_lm,,,,,,,,,,,
priority_memory_dr_hopkins,,,,,,,,,,,
priority_memory_dr_vat_a,,,,,,,,,,,
priority_memory_dr_vat_b,,,,,,,,,,,
priority_memory_dr_srb,,,,,,,,,,,
priority_memory_dr_rrf_short,,,,,,,,,,,
priority_memory_dr_rrf_long,,,,,,,,,,,
priority_memory_dr_mmse,,,,,,,,,,,
priority_memory_dr_adas,,,,,,,,,,,
priority_memory_dr_10_word_list,,,,,,,,,,,
priority_memory_dr_recall_10_word_list,,,,,,,,,,,
priority_memory_dr_15_word_list_correct,wt15_ra,sms15wtrc;WT15_d,,,,,,,,,
priority_memory_dr_15_word_list_incorrect,wt15_rb,sms15wtrf,,,,,,,,,
priority_executive_tmt_b_time,,,,,,,,,,,
priority_executive_tmt_b_errors,,,,,,,,,,,
priority_executive_stroop_3,,,,,,,,,,,
priority_executive_stroop_3_adj,,,,,,,,,,,
priority_executive_cst_a,,,,,,,,,,,
priority_executive_cst_b,,,,,,,,,,,
priority_executive_cst_c,,,,,,,,,,,
priority_executive_vet,viseltim,smsviseltim;VE_time,,,,,,,,,
priority_executive_bat,brixraw,smsbrixraw;Brixton_raw,,,,,,,,,
priority_language_animal_fluency,,,,,,,,,,,
priority_language_category_fluency_1,,,,,,,,,,,
priority_language_letter_fluency_1,,,,,,,,,,,
priority_language_any_fluency_2,,,,,,,,,,,
priority_language_bnt_15,,,,,,,,,,,
priority_language_bnt_30,,,,,,,,,,,
priority_language_bnt_60,,,,,,,,,,,
priority_language_any_picture_naming_test,,,,,,,,,,,
priority_language_animals_naming_1,Num_animals_correct,vfdieren_g,,,,,2 minutes,,,,
priority_language_verbal_fluency_1,verbflun,smsvfletter;Fluency_N,,,,,Baseline: Letter N; FU1: Letter A; FU2: Letter N,,,,
p_tau,,,,,,,,,,,
amyloid_b_42,,,,,,,,,,,
amyloid_b_40,,,,,,,,,,,
gfap,,,,,,,,,,,
nfl,,,,,,,,,,,
e_selectin,,,,,,,,,,,
saa,,,,,,,,,,,
vcam,,,,,,,,,,,
icam,,,,,,,,,,,
il6,,,,,,,,,,,
il8,,,,,,,,,,,
il_1b,,,,,,,,,,,
tnfalpha,,,,,,,,,,,
