variable,source_variable,alternatives,condition,values,values_parsed,format,static_value,aggregate,conversion,threshold,limit
myocardial_infarction,diagnsco,,,6.0;-,yes;_,,,,,,
cardiovascular_disease,,,,,yes;no,,,,,,
heart_failure,,,,,yes;no,,,,,,
stroke,vz_kop,SMvz_kop;S2vz_kop,,1.0;0.0,yes;no,,,,,,
no_dm_1,vz_t1d,S2vz_t1d,,1.0;0.0;-,yes;no;_,,,,,,
no_dm_2,vz_t2d,S2vz_t2d,,1.0;0.0;-,yes;no;_,,,,,,
no_dm,vz_t1d,S2vz_t1d;vz_t2d;S2vz_t2d;SMvz_diab,1,1.0;0.0;-,yes;no;_,,,,,,
no_myocardial_infarction,diagnsco,,,6.0;-,yes;_,,,,,,
no_heart_failure,,,,,yes;no,,,,,,
no_stroke,vz_kop,SMvz_kop;S2vz_kop,,1.0;0.0,yes;no,,,,,,
drugs_hypertension,S2medHT,S2mht01;S2mht02;S2mht02a;S2mht02b;S2mht02c;S2mht02d;S2mht03;S2mht04;S2mht05;S2mht06;S2mht07;S2mht12;S2mht33;S2mht41,1,1.0;0.0;-,yes;no;_,,,,,,
drugs_hypercholesterolemia,S2medLIP,S2mlipho;S2mli01;S2mli02;S2mli03;S2mli04,1,1.0;0.0;-,yes;no;_,,,,,,
drugs_diabetes,S2medDIAB,S2mgl01;S2mgl02,1,1.0;0.0;-,yes;no;_,,,,,,
date_blood,S2scr_dt,,,,,%Y-%m-%d,,,,,
glucose_fasted,labgluc,SMlabgluc;S2gluc,,,,,,,,,30
glucose_nonfasted,,,,,,,,,,,
glucose_abnormal,,,,,yes;no,,,,,,
no_glucose_abnormal,,,,,yes;no,,,,,,
glucose_cutoff,,,,,,,,,,,
hdl,labhdl,SMlabhdl;S2hdl,,,,,,,,,7.5
ldl,ldlchol,SMlabhdl;S2hdl,,,,,,,,,30
hdl_ratio,,,,,,,,,,,
crp,CRP,labcrp;B_11;S2hsCRP,,,,,,,,,883
date_habits,S2scr_dt,,,,,%Y-%m-%d,,,,,
alcohol,S2alchol,,,9.0;3.0;2.0;1.0;0.0,_;yes;yes;no;no,,,,,,
smoking_behavior,S2roken,,,2.0;1.0;0.0,current;past;never,,,,,,
smoker,S2roken,,,2.0;1.0;0.0,yes;no;no,,,,,,
physical_activity,,,,,,,,,,,
apoe_date,S2scr_dt,,,,,%Y-%m-%d,,,,,
apoe_carrier,APOE_e4,APOE_e4e4,2;1,2.0;1.0;0.0,yes;yes;no,,,,,,
apoe_genotype,APOE,,,4.0;3.0;1.0;2.0;6.0;5.0,2/2;2/3;3/3;3/4;2/4;4/4,,,,,,
date_lp,,,,,,,,,,,
csf_assay_amyloid,,,,,luminex;innogetics Elisa;Elecsys;Innotest;Euroimmun,,,,,,
csf_ab_total_1_42,,,,,,,,,,,
csf_ab_total_ratio_42_40,,,,,,,,,,,
csf_ab_total_1_38,,,,,,,,,,,
amy_abnormal,,,,,yes;no,,,,,,
no_amy_abnormal,,,,,yes;no,,,,,,
amy_cutoff,,,,,,,,,,,
csf_assay_tau,,,,,luminex;innogetics Elisa;Elecsys;Innotest;Euroimmun,,,,,,
csf_ttau,,,,,,,,,,,
ttau_abnormal,,,,,yes;no,,,,,,
no_ttau_abnormal,,,,,yes;no,,,,,,
ttau_cutoff,,,,,,,,,,,
csf_ptau,,,,,,,,,,,
ptau_abnormal,,,,,yes;no,,,,,,
no_ptau_abnormal,,,,,yes;no,,,,,,
ptau_cutoff,,,,,,,,,,,
date_pet,,,,,,,,,,,
pet_tracer,,,,,PiB;Florbetapir;AV-45,,,,,,
pet_assesment,,,,,quantitative;visual,,,,,,
pet_level_suvr,,,,,,,,,,,
pet_level_bpnd,,,,,,,,,,,
pet_abnormal,,,,,yes;no,,,,,,
no_pet_abnormal,,,,,yes;no,,,,,,
date_depression,smsdate,dateMRI15T,,,,%Y-%m-%d,,,,,
depression_rating_mini,,,,,,,,,,,
depression_rating_gds_15,,,,,,,,,,,
depression_rating_gds,,,,,,,,,,,
depression_rating_ces_d,,,,,,,,,,,
depression_rating_phq_9,m_PHQ9,PHQ9_tot_fup2,,,,,,,,,
depression_rating_hads,,,,,,,,,,,
depression_rating_sf_36,,,,,,,,,,,
depression,MDD2,DSM-IV,,1.0;0.0,yes;no,,DSM-IV diagnosis based on CIDI interview (4157256),,,,
no_depression,MDD2,DSM-IV,,1.0;0.0,yes;no,,DSM-IV diagnosis based on CIDI interview (4157256),,,,
depression_cutoff,,,,,,,,,,,
date_anxiety,smsdate,dateMRI15T,,,,%Y-%m-%d,,,,,
anxiety_rating_mini,,,,,,,,,,,
anxiety_rating_beck_anxiety,SMS_BAI,BAI,,,,,,,,,
anxiety_rating_state_trait,,,,,,,,,,,
anxiety_rating_hospital_scale,,,,,,,,,,,
anxiety,,,,,yes;no,,,,,,
no_anxiety,,,,,yes;no,,,,,,
anxiety_cutoff,,,,,,,,,,,
mhi_5_questionnaire,,,,,,,,,,,
lidas_questionnaire,,,,,,,,,,,
npi_questionnaire_frq,,,,,,,,,,,
npi_questionnaire_sev,,,,,,,,,,,
npi_questionnaire_dis,,,,,0;1;2;3;4;5,,,,,,
date_mmse,smsdate,dateMRI15T,,,,%Y-%m-%d,,,,,
mmse_total,smsmmse,mmse_total,,,,,,,,,
date_attention,smsdate,dateMRI15T,,,,%Y-%m-%d,,,,,
attention_test_tmt_a_time,,,,,,,,,,,
attention_test_tmt_a_errors,,,,,,,,,,,
attention_test_stroop_1_time,,,,,,,,,,,
attention_test_stroop_1_errors,,,,,,,,,,,
attention_test_stroop_2_time,,,,,,,,,,,
attention_test_stroop_2_errors,,,,,,,,,,,
attention_test_stroop_1_adj,,,,,,,,,,,
attention_test_stroop_2_adj,,,,,,,,,,,
attention_test_sdst_60_correct,,,,,,,,,,,
attention_test_sdst_60_errors,,,,,,,,,,,
attention_test_sdst_60_ts,,,,,,,,,,,
attention_test_sdst_90_correct,,,,,,,,,,,
attention_test_sdst_90_errors,,,,,,,,,,,
attention_test_sdst_90_ts,,,,,,,,,,,
attention_test_sdst_120_correct,smsdigit,DSST,,,,,,,,,
attention_test_sdst_120_errors,,,,,,,,,,,
attention_test_sdst_120_ts,,,,,,,,,,,
attention_test_ldst_30_correct,,,,,,,,,,,
attention_test_ldst_30_errors,,,,,,,,,,,
attention_test_ldst_60_correct,,,,,,,,,,,
attention_test_ldst_60_errors,,,,,,,,,,,
attention_test_ldst_90_correct,,,,,,,,,,,
attention_test_ldst_90_errors,,,,,,,,,,,
alphabet_coding_task,,,,,,,,,,,
date_memory,testdate,smsdate;dateMRI15T,,,,%Y-%m-%d,,,,,
priority_memory_im_ravlt,,,,,,,,,,,
priority_memory_im_cerad,,,,,,,,,,,
priority_memory_im_gb,,,,,,,,,,,
priority_memory_im_sct,,,,,,,,,,,
priority_memory_im_lm,,,,,,,,,,,
priority_memory_im_hopkins,,,,,,,,,,,
priority_memory_im_vat_a,,,,,,,,,,,
priority_memory_im_vat_b,,,,,,,,,,,
priority_memory_im_srb,,,,,,,,,,,
priority_memory_im_rrf,reycopy,,,,,,,,,,
priority_memory_im_mmse,,,,,,,,,,,
priority_memory_im_adas,,,,,,,,,,,
priority_memory_im_10_word_list_correct,,,,,,,,,,,
priority_memory_im_10_word_list_errors,,,,,,,,,,,
priority_memory_im_15_word_list_correct,wt15_ta,sms15wttc;WT15_tot,,,,,,,,,
priority_memory_im_15_word_list_errors,wt15_tb,sms15wttf,,,,,,,,,
priority_memory_im_pwlt,,,,,,,,,,,
priority_memory_dr_ravlt,,,,,,,,,,,
priority_memory_dr_cerad,,,,,,,,,,,
priority_memory_dr_gb,,,,,,,,,,,
priority_memory_dr_sct,,,,,,,,,,,
priority_memory_dr_lm,,,,,,,,,,,
priority_memory_dr_hopkins,,,,,,,,,,,
priority_memory_dr_vat_a,,,,,,,,,,,
priority_memory_dr_vat_b,,,,,,,,,,,
priority_memory_dr_srb,,,,,,,,,,,
priority_memory_dr_rrf_short,,,,,,,,,,,
priority_memory_dr_rrf_long,reyrec,,,,,,,,,,
priority_memory_dr_mmse,,,,,,,,,,,
priority_memory_dr_adas,,,,,,,,,,,
priority_memory_dr_10_word_list_correct,,,,,,,,,,,
priority_memory_dr_10_word_list_errors,,,,,,,,,,,
priority_memory_dr_15_word_list_correct,wt15_ra,sms15wtrc;WT15_d,,,,,,,,,
priority_memory_dr_15_word_list_errors,wt15_rb,sms15wtrf,,,,,,,,,
priority_memory_de_pwlt,,,,,,,,,,,
date_executive,testdate,smsdate;dateMRI15T,,,,%Y-%m-%d,,,,,
priority_executive_tmt_b_time,,,,,,,,,,,
priority_executive_tmt_b_errors,,,,,,,,,,,
priority_executive_stroop_3_time,,,,,,,,,,,
priority_executive_stroop_3_errors,,,,,,,,,,,
priority_executive_stroop_3_time_adj,,,,,,,,,,,
priority_executive_cst_a_time,,,,,,,,,,,
priority_executive_cst_a_errors,,,,,,,,,,,
priority_executive_cst_b_time,,,,,,,,,,,
priority_executive_cst_b_errors,,,,,,,,,,,
priority_executive_cst_c_time,,,,,,,,,,,
priority_executive_cst_c_errors,,,,,,,,,,,
priority_executive_vet,viseltim,smsviseltim;VE_time,,,,,,,,,
priority_executive_bat,brixraw,smsbrixraw;Brixton_raw,,,,,,,,,
priority_executive_cijfferreeksspanne,,,,,,,,,,,
priority_executive_vosp,,,,,,,,,,,
priority_executive_wais_3_b,backt,,,,,,,,,,
priority_executive_wais_3_b_span,,,,,,,,,,,
priority_executive_wais_3_f,fort,,,,,,,,,,
priority_executive_wais_3_f_span,,,,,,,,,,,
date_language,testdate,smsdate;dateMRI15T,,,,%Y-%m-%d,,,,,
priority_language_animal_fluency_60_correct,,,,,,,,,,,
priority_language_animal_fluency_60_errors,,,,,,,,,,,
priority_language_animal_fluency_60_ts,,,,,,,,,,,
priority_language_animal_fluency_120_correct,Num_animals_correct,vfdieren_g,,,,,,,,,
priority_language_animal_fluency_120_errors,,,,,,,,,,,
priority_language_animal_fluency_120_ts,,,,,,,,,,,
priority_language_category_fluency_60,,,,,,,,,,,
priority_language_letter_fluency_60,,,,,,,,,,,
priority_language_bnt_15,,,,,,,,,,,
priority_language_bnt_30,,,,,,,,,,,
priority_language_bnt_60,,,,,,,,,,,
priority_language_verbal_fluency_60,verbflun,smsvfletter;Fluency_N,,,,,Baseline: Letter N; FU1: Letter A; FU2: Letter N,,,,
priority_language_verbal_fluency_60_errors,,,,,,,,,,,
date_fluid_intelligence,,,,,,,,,,,
fluid_intelligence_raven,,,,,,,,,,,
date_dexterity,,,,,,,,,,,
dexterity_purdue_pegboard,,,,,,,,,,,
dexterity_clock_drawing,,,,,,,,,,,
dexterity_cogstate_battery,,,,,,,,,,,
cognitive_impairment_overall,COG_IMPt2,,,1.0;0.0,yes;no,,,,,,
cognitive_impairment_attention,SPEED_IMPt2,,,1.0;0.0,yes;no,,,,,,
cognitive_impairment_executive,EXEC_IMPt2,,,1.0;0.0,yes;no,,,,,,
cognitive_impairment_memory,MEM_IMPt2,,,1.0;0.0,yes;no,,,,,,
cognitive_impairment_processing,,,,,yes;no,,,,,,
cognitive_impairment_working_memory,WMEM_IMPt2,,,1.0;0.0,yes;no,,,,,,
cognitive_score_overall,,,,,,,,,,,
cognitive_score_memory,,,,,,,,,,,
cognitive_score_processing,,,,,,,,,,,
cognitive_score_attention,,,,,,,,,,,
cognitive_score_executive,,,,,,,,,,,
date_plasma,,,,,,,,,,,
p_tau,,,,,,,,,,,
amyloid_b_42,,,,,,,,,,,
amyloid_b_40,,,,,,,,,,,
amyloid_b_ratio_42_40,,,,,,,,,,,
gfap,,,,,,,,,,,
nfl,,,,,,,,,,,
e_selectin,,,,,,,,,,,
saa,,,,,,,,,,,
vcam,,,,,,,,,,,
icam,,,,,,,,,,,
il6,,,,,,,,,,,
il8,,,,,,,,,,,
il_1b,,,,,,,,,,,
tnfalpha,,,,,,,,,,,
vwf,,,,,,,,,,,
date_metabolomics,,,,,,,,,,,
metabo_age,,,,,,,,,,,
date_mri,,,,,,,,,,,
brain_age,,,,,,,,,,,
