variable,source_variable,alternatives,condition,values,values_parsed,format,static_value,aggregate,conversion,threshold,limit
hdl,SMlabhdl,,,,,,,,,,7.5
ldl,SMlabhdl,,,,,,,,,,30
hdl_ratio,,,,,,,,,,,
crp,CRP,B_11,,,,,,,,,883
date_habits,smsdate,,,,,%Y-%m-%d,,,,,
alcohol,smsalc,,,3.0;2.0;1.0;0.0,yes;yes;yes;no,,,,,,
smoking_behavior,smoking,,,2.0;1.0;0.0,current;past;never,,,,,,
smoker,smoking,,,2.0;1.0;0.0,yes;no;no,,,,,,
physical_activity,,,,,,,,,,,
apoe_date,smsdate,,,,,%Y-%m-%d,,,,,
apoe_carrier,APOE_e4,APOE_e4e4,2;1,2.0;1.0;0.0,yes;yes;no,,,,,,
apoe_genotype,APOE,,,4.0;3.0;1.0;2.0;6.0;5.0,2/2;2/3;3/3;3/4;2/4;4/4,,,,,,
date_lp,,,,,,,,,,,
csf_assay_amyloid,,,,,luminex;innogetics Elisa;Elecsys;Innotest;Euroimmun,,,,,,
csf_ab_total_1_42,,,,,,,,,,,
csf_ab_total_ratio_42_40,,,,,,,,,,,
csf_ab_total_1_38,,,,,,,,,,,
amy_abnormal,,,,,yes;no,,,,,,
no_amy_abnormal,,,,,yes;no,,,,,,
amy_cutoff,,,,,,,,,,,
csf_assay_tau,,,,,luminex;innogetics Elisa;Elecsys;Innotest;Euroimmun,,,,,,
csf_ttau,,,,,,,,,,,
ttau_abnormal,,,,,yes;no,,,,,,
no_ttau_abnormal,,,,,yes;no,,,,,,
ttau_cutoff,,,,,,,,,,,
csf_ptau,,,,,,,,,,,
ptau_abnormal,,,,,yes;no,,,,,,
no_ptau_abnormal,,,,,yes;no,,,,,,
ptau_cutoff,,,,,,,,,,,
date_pet,,,,,,,,,,,
pet_tracer,,,,,PiB;Florbetapir;AV-45,,,,,,
pet_assesment,,,,,quantitative;visual,,,,,,
pet_level_suvr,,,,,,,,,,,
pet_level_bpnd,,,,,,,,,,,
pet_abnormal,,,,,yes;no,,,,,,
no_pet_abnormal,,,,,yes;no,,,,,,
date_depression,smsdate,,,,,%Y-%m-%d,,,,,
depression_rating_mini,,,,,,,,,,,
depression_rating_gds_15,,,,,,,,,,,
depression_rating_gds,,,,,,,,,,,
depression_rating_ces_d,,,,,,,,,,,
depression_rating_phq_9,m_PHQ9,PHQ9_tot_fup2,,,,,,,,,
depression_rating_hads,,,,,,,,,,,
depression_rating_sf_36,,,,,,,,,,,
depression,MDD2,DSM-IV,,1.0;0.0,yes;no,,DSM-IV diagnosis based on CIDI interview (4157256),,,,
no_depression,MDD2,DSM-IV,,1.0;0.0,yes;no,,DSM-IV diagnosis based on CIDI interview (4157256),,,,
depression_cutoff,,,,,,,,,,,
date_anxiety,smsdate,,,,,%Y-%m-%d,,,,,
anxiety_rating_mini,,,,,,,,,,,
anxiety_rating_beck_anxiety,SMS_BAI,BAI,,,,,,,,,
anxiety_rating_state_trait,,,,,,,,,,,
anxiety_rating_hospital_scale,,,,,,,,,,,
anxiety,,,,,yes;no,,,,,,
no_anxiety,,,,,yes;no,,,,,,
anxiety_cutoff,,,,,,,,,,,
mhi_5_questionnaire,,,,,,,,,,,
lidas_questionnaire,,,,,,,,,,,
npi_questionnaire_frq,,,,,,,,,,,
npi_questionnaire_sev,,,,,,,,,,,
date_mmse,smsdate,,,,,%Y-%m-%d,,,,,
mmse_total,smsmmse,mmse_total,,,,,,,,,
date_attention,smsdate,,,,,%Y-%m-%d,,,,,
attention_test_tmt_a_time,,,,,,,,,,,
attention_test_tmt_a_errors,,,,,,,,,,,
attention_test_stroop_1_time,,,,,,,,,,,
attention_test_stroop_1_errors,,,,,,,,,,,
attention_test_stroop_2_time,,,,,,,,,,,
attention_test_stroop_2_errors,,,,,,,,,,,
attention_test_stroop_1_adj,,,,,,,,,,,
attention_test_stroop_2_adj,,,,,,,,,,,
attention_test_sdst_60_correct,,,,,,,,,,,
attention_test_sdst_60_errors,,,,,,,,,,,
attention_test_sdst_120_correct,smsdigit,DSST,,,,,,,,,
attention_test_sdst_120_errors,,,,,,,,,,,
attention_test_ldst_30_correct,,,,,,,,,,,
attention_test_ldst_30_errors,,,,,,,,,,,
attention_test_ldst_60_correct,,,,,,,,,,,
attention_test_ldst_60_errors,,,,,,,,,,,
attention_test_ldst_90_correct,,,,,,,,,,,
attention_test_ldst_90_errors,,,,,,,,,,,
alphabet_coding_task,,,,,,,,,,,
date_memory,testdate,smsdate;,,,,%Y-%m-%d,,,,,
priority_memory_im_ravlt,,,,,,,,,,,
priority_memory_im_cerad,,,,,,,,,,,
priority_memory_im_gb,,,,,,,,,,,
priority_memory_im_sct,,,,,,,,,,,
priority_memory_im_lm,,,,,,,,,,,
priority_memory_im_hopkins,,,,,,,,,,,
priority_memory_im_vat_a,,,,,,,,,,,
priority_memory_im_vat_b,,,,,,,,,,,
priority_memory_im_srb,,,,,,,,,,,
priority_memory_im_rrf,,,,,,,,,,,
priority_memory_im_mmse,,,,,,,,,,,
priority_memory_im_adas,,,,,,,,,,,
priority_memory_im_10_word_list_correct,,,,,,,,,,,
priority_memory_im_10_word_list_errors,,,,,,,,,,,
priority_memory_im_15_word_list_correct,wt15_ta,sms15wttc;WT15_tot,,,,,,,,,
priority_memory_im_15_word_list_errors,wt15_tb,sms15wttf,,,,,,,,,
priority_memory_im_pwlt,,,,,,,,,,,
priority_memory_dr_ravlt,,,,,,,,,,,
priority_memory_dr_cerad,,,,,,,,,,,
priority_memory_dr_gb,,,,,,,,,,,
priority_memory_dr_sct,,,,,,,,,,,
priority_memory_dr_lm,,,,,,,,,,,
priority_memory_dr_hopkins,,,,,,,,,,,
priority_memory_dr_vat_a,,,,,,,,,,,
priority_memory_dr_vat_b,,,,,,,,,,,
priority_memory_dr_srb,,,,,,,,,,,
priority_memory_dr_rrf_short,,,,,,,,,,,
priority_memory_dr_rrf_long,,,,,,,,,,,
priority_memory_dr_mmse,,,,,,,,,,,
priority_memory_dr_adas,,,,,,,,,,,
priority_memory_dr_10_word_list_correct,,,,,,,,,,,
priority_memory_dr_10_word_list_errors,,,,,,,,,,,
priority_memory_dr_15_word_list_correct,wt15_ra,sms15wtrc;WT15_d,,,,,,,,,
priority_memory_dr_15_word_list_errors,wt15_rb,sms15wtrf,,,,,,,,,
priority_memory_de_pwlt,,,,,,,,,,,
date_executive,testdate,smsdate;,,,,%Y-%m-%d,,,,,
priority_executive_tmt_b_time,,,,,,,,,,,
priority_executive_tmt_b_errors,,,,,,,,,,,
priority_executive_stroop_3,,,,,,,,,,,
priority_executive_stroop_3_e,,,,,,,,,,,
priority_executive_stroop_3_adj,,,,,,,,,,,
priority_executive_cst_a_time,,,,,,,,,,,
priority_executive_cst_a_errors,,,,,,,,,,,
priority_executive_cst_b_time,,,,,,,,,,,
priority_executive_cst_b_errors,,,,,,,,,,,
priority_executive_cst_c_time,,,,,,,,,,,
priority_executive_cst_c_errors,,,,,,,,,,,
priority_executive_vet,viseltim,smsviseltim;VE_time,,,,,,,,,
priority_executive_bat,brixraw,smsbrixraw;Brixton_raw,,,,,,,,,
priority_executive_cijfferreeksspanne,,,,,,,,,,,
priority_executive_vosp,,,,,,,,,,,
priority_executive_wais_3_b,,,,,,,,,,,
priority_executive_wais_3_f,,,,,,,,,,,
date_language,testdate,smsdate;,,,,%Y-%m-%d,,,,,
priority_language_animal_fluency_60_correct,,,,,,,,,,,
priority_language_animal_fluency_60_errors,,,,,,,,,,,
priority_language_animal_fluency_120_correct,Num_animals_correct,vfdieren_g,,,,,,,,,
priority_language_animal_fluency_120_errors,,,,,,,,,,,
priority_language_category_fluency_60,,,,,,,,,,,
priority_language_letter_fluency_60,,,,,,,,,,,
priority_language_bnt_15,,,,,,,,,,,
priority_language_bnt_30,,,,,,,,,,,
priority_language_bnt_60,,,,,,,,,,,
priority_language_verbal_fluency_60,verbflun,smsvfletter;Fluency_N,,,,,Baseline: Letter N; FU1: Letter A; FU2: Letter N,,,,
date_fluid_intelligence,,,,,,,,,,,
fluid_intelligence_raven,,,,,,,,,,,
date_dexterity,,,,,,,,,,,
dexterity_purdue_pegboard,,,,,,,,,,,
dexterity_clock_drawing,,,,,,,,,,,
dexterity_cogstate_battery,,,,,,,,,,,
cognitive_impairment_overall,,,,,yes;no,,,,,,
cognitive_impairment_attention,,,,,yes;no,,,,,,
cognitive_impairment_executive,,,,,yes;no,,,,,,
cognitive_impairment_memory,,,,,yes;no,,,,,,
cognitive_impairment_processing,,,,,yes;no,,,,,,
cognitive_score_overall,,,,,,,,,,,
cognitive_score_memory,,,,,,,,,,,
cognitive_score_processing,,,,,,,,,,,
cognitive_score_attention,,,,,,,,,,,
cognitive_score_executive,,,,,,,,,,,
date_plasma,smsdate,,,,,%Y-%m-%d,,,,,
p_tau,pTau181pgmL,,,,,,,,,,
amyloid_b_42,AB142pgmL,,,,,,,,,,
amyloid_b_40,AB140pgmL,,,,,,,,,,
amyloid_b_ratio_42_40,,,,,,,,,,,
gfap,GFAPpgmL,,,,,,,,,,
nfl,NFLightpgmL,,,,,,,,,,
e_selectin,Eselectin,,,,,,,,,,
saa,SAA,,,,,,,,,,
vcam,sVCAM,,,,,,,,,,
icam,sICAM,,,,,,,,,,
il6,IL6,,,,,,,,,,
il8,IL8,,,,,,,,,,
il_1b,IL1beta,,,,,,,,,,
tnfalpha,TNFalpha,,,,,,,,,,
vwf,,,,,,,,,,,
